metric,statistic,value
mse_mean_healthy,mean,0.034327730536460876
mse_mean_healthy,std,0.02650463581085205
mse_mean_healthy,median,0.020356284454464912
mse_mean_healthy,q25,0.012945828260853887
mse_mean_healthy,q75,0.062071661464869976
mse_mean_diseased,mean,0.501207709312439
mse_mean_diseased,std,0.4827117919921875
mse_mean_diseased,median,0.37418586015701294
mse_mean_diseased,q25,0.2680826187133789
mse_mean_diseased,q75,0.5145847648382187
mse_std_healthy,mean,0.008797967806458473
mse_std_healthy,std,0.006422671489417553
mse_std_healthy,median,0.006642564199864864
mse_std_healthy,q25,0.004399704979732633
mse_std_healthy,q75,0.012130307499319315
mse_std_diseased,mean,0.1869264543056488
mse_std_diseased,std,0.3704577684402466
mse_std_diseased,median,0.10351073741912842
mse_std_diseased,q25,0.0720378328114748
mse_std_diseased,q75,0.184426698833704
performance,total_time,84.16990280151367
performance,avg_time_per_sim,0.8396776819229126
performance,avg_cache_hit_rate,0.0
performance,success_rate,1.0
